timestamp,pkg,input,threads,mode,run_idx,elapsed_s,task_clock_ms,cycles,instructions,branches,branch_misses,ctx_switches,cpu_migrations,page_faults,exit_code
2025-08-11T21:08:54-06:00,blackscholes,simlarge,4,baseline,1,0.18,158.42,<not,<not,<not,<not,453,19,93192,0
2025-08-11T21:08:54-06:00,blackscholes,simlarge,4,baseline,2,0.13,134.75,<not,<not,<not,<not,464,15,92903,0
2025-08-11T21:08:54-06:00,blackscholes,simlarge,4,baseline,3,0.13,129.67,<not,<not,<not,<not,458,14,92996,0
2025-08-11T21:08:54-06:00,blackscholes,simlarge,4,baseline,4,0.13,137.71,<not,<not,<not,<not,484,26,92934,0
2025-08-11T21:08:54-06:00,blackscholes,simlarge,4,baseline,5,0.12,126.22,<not,<not,<not,<not,449,21,93095,0
2025-08-11T21:08:54-06:00,blackscholes,simlarge,4,baseline,6,0.13,132.01,<not,<not,<not,<not,493,35,92931,0
2025-08-11T21:08:54-06:00,blackscholes,simlarge,4,baseline,7,0.13,135.19,<not,<not,<not,<not,497,16,93102,0
2025-08-11T21:08:55-06:00,blackscholes,simlarge,4,baseline,8,0.15,157.09,<not,<not,<not,<not,533,33,92916,0
2025-08-11T21:08:55-06:00,blackscholes,simlarge,4,baseline,9,0.14,143.94,<not,<not,<not,<not,525,38,93131,0
2025-08-11T21:08:55-06:00,blackscholes,simlarge,4,baseline,10,0.13,132.09,<not,<not,<not,<not,467,37,93117,0
2025-08-11T21:08:55-06:00,swaptions,simlarge,4,baseline,1,0.97,3499.21,<not,<not,<not,<not,616,51,93736,0
2025-08-11T21:08:56-06:00,swaptions,simlarge,4,baseline,2,0.97,3370.23,<not,<not,<not,<not,3215,19,93433,0
2025-08-11T21:08:57-06:00,swaptions,simlarge,4,baseline,3,0.95,3401.04,<not,<not,<not,<not,684,12,93057,0
2025-08-11T21:08:58-06:00,swaptions,simlarge,4,baseline,4,0.93,3369.39,<not,<not,<not,<not,602,18,92926,0
2025-08-11T21:08:59-06:00,swaptions,simlarge,4,baseline,5,1.06,3757.26,<not,<not,<not,<not,689,13,93732,0
2025-08-11T21:09:00-06:00,swaptions,simlarge,4,baseline,6,0.98,3448.31,<not,<not,<not,<not,678,22,92960,0
2025-08-11T21:09:01-06:00,swaptions,simlarge,4,baseline,7,1.07,3482.01,<not,<not,<not,<not,1816,23,93036,0
2025-08-11T21:09:02-06:00,swaptions,simlarge,4,baseline,8,0.94,3378.18,<not,<not,<not,<not,650,20,92895,0
2025-08-11T21:09:03-06:00,swaptions,simlarge,4,baseline,9,0.93,3359.14,<not,<not,<not,<not,649,18,92923,0
2025-08-11T21:09:04-06:00,swaptions,simlarge,4,baseline,10,0.93,3370.79,<not,<not,<not,<not,647,16,93113,0
2025-08-11T21:09:05-06:00,streamcluster,simlarge,4,baseline,1,0.48,1498.56,<not,<not,<not,<not,3694,36,95695,0
2025-08-11T21:09:05-06:00,streamcluster,simlarge,4,baseline,2,0.44,1421.05,<not,<not,<not,<not,1220,20,94975,0
2025-08-11T21:09:06-06:00,streamcluster,simlarge,4,baseline,3,0.49,1524.01,<not,<not,<not,<not,3493,25,94875,0
2025-08-11T21:09:06-06:00,streamcluster,simlarge,4,baseline,4,0.45,1455.17,<not,<not,<not,<not,2202,21,95012,0
2025-08-11T21:09:07-06:00,streamcluster,simlarge,4,baseline,5,0.44,1425.35,<not,<not,<not,<not,1227,22,94992,0
2025-08-11T21:09:07-06:00,streamcluster,simlarge,4,baseline,6,0.46,1457.49,<not,<not,<not,<not,2047,62,95698,0
2025-08-11T21:09:08-06:00,streamcluster,simlarge,4,baseline,7,0.45,1426.22,<not,<not,<not,<not,1274,22,94991,0
2025-08-11T21:09:08-06:00,streamcluster,simlarge,4,baseline,8,0.47,1470.72,<not,<not,<not,<not,2194,40,94839,0
2025-08-11T21:09:09-06:00,streamcluster,simlarge,4,baseline,9,0.46,1463.18,<not,<not,<not,<not,2792,22,94839,0
2025-08-11T21:09:09-06:00,streamcluster,simlarge,4,baseline,10,0.46,1448.32,<not,<not,<not,<not,1759,38,95010,0
2025-08-11T21:09:10-06:00,canneal,simlarge,4,baseline,1,0.17,106.31,<not,<not,<not,<not,451,17,92588,0
2025-08-11T21:09:10-06:00,canneal,simlarge,4,baseline,2,0.15,106.55,<not,<not,<not,<not,443,16,93149,0
2025-08-11T21:09:10-06:00,canneal,simlarge,4,baseline,3,0.15,106.28,<not,<not,<not,<not,442,18,92622,0
2025-08-11T21:09:10-06:00,canneal,simlarge,4,baseline,4,0.15,106.61,<not,<not,<not,<not,418,28,92588,0
2025-08-11T21:09:10-06:00,canneal,simlarge,4,baseline,5,0.15,107.61,<not,<not,<not,<not,457,20,93474,0
2025-08-11T21:09:10-06:00,canneal,simlarge,4,baseline,6,0.15,107.04,<not,<not,<not,<not,443,23,92837,0
2025-08-11T21:09:11-06:00,canneal,simlarge,4,baseline,7,0.15,105.22,<not,<not,<not,<not,420,25,92576,0
2025-08-11T21:09:11-06:00,canneal,simlarge,4,baseline,8,0.15,107.72,<not,<not,<not,<not,439,18,92597,0
2025-08-11T21:09:11-06:00,canneal,simlarge,4,baseline,9,0.15,106.81,<not,<not,<not,<not,493,17,92565,0
2025-08-11T21:09:11-06:00,canneal,simlarge,4,baseline,10,0.17,118.40,<not,<not,<not,<not,474,39,92553,0
